,name,votes,winner,win_difference
0,"Natani as Sherlock, with Keith as Watson",6,False,0
1821,"Raine ""hulks out"" of her sweater",6,False,0
7911,"Clovis trick-or-treating naked, being puppeted by Mrs Nibbly who's on her head under a chef hat reenacting Ratatouille as her ""costume"".",6,False,0
19163,"Young Reni playfully chases puppy Raine around the Christmas tree.  Raine can dash under the tree without knocking it over, Reni... can't.",6,False,0
1366,Keith as Ratchet from Ratchet & Clank game series.,6,False,0
9152,Human version of Flora's Sister Ivy,6,False,0
13508,"Some Basitin lawmakers contemplate a cake.  Defining standards of what constitutes a cake, along with proposing proper cake eating etiquette legislation.  To ensure compliance with Basitin eating decency laws.",6,False,0
7914,Kat receiving headpats/rubs,6,False,0
13344,Modern AU. Nora (in dragon form) orders food at fast food drive-through,6,False,0
20644,Zen and Raine snuggled together in a hammock on a warm spring day.,6,False,0
1808,Kat demonstrates a new keidran's fashion collection. Eric is impressed.,6,False,0
5149,Dark Trace force to relive the memories of 2012 mistletoe incident,6,False,0
13841,"Maeve holding the biggest, slimiest, swamp looking toad that she just caught while asking Adira if she can keep it as a pet. ",6,False,0
11499,"Brutus as Pinky and Clovis as Brain from ""Pinky and the Brain""",6,False,0
13396,Get Ready to Slumber… That Brother Gone… Eric asking Natani to pose for a painting… Natani: *hypersonic fist*,6,False,0
7130,"Brutus, hearing ""Let me in"" Clovis, opens the gate a bit too quick slamming Clovis between it and the fence.",6,False,0
10082,"(Gender-swap AU) On the ship to the islands, Keith learns Natani's secret",6,False,0
1876,"King Adelaide & Keith make a diplomatic trip to visit Western Basitin leaders, in proper attire",6,False,0
4512,"Flora and Natani take Kathrin out on Keidran styled hunting trip, despite Kathrin insisting that there is plenty of food at the mansion.",6,False,0
1855,Saria & Rose encounter young Flora while walking through the countryside.,6,False,0
17301,"Eric finds the control panel for the Oasis room and changes ""Occupants"" to ""Female Keidran"" and hits ""Apply All Changes"".",6,False,0
16656,Long-hair Kat tying up her hair in a ponytail,6,False,0
4781,Magic Glasses 2: A more realistic Kat walks in on Flora and Trace while he's still wearing the spectacles.,6,False,0
10431,"Eric and Kathrin as children: After Kat breaks a vase while playing and Eric's mother angrily asks who did it, Eric takes the blame.",6,False,0
20707,Vampire Kat bites Natani,6,False,0
15170,"Basitin Policewoman is about to give Natani another ticket for howling but luckily, Keith uses his position to help",6,False,0
1811,Trace interpreting the meme of omae wa mou shindeiru,6,False,0
10952,"Modern Maeve: Maeve spies a shy Basitin exchange student eating by herself in the cafeteria, and decides to join her for lunch.",6,False,0
16664,A very confused Kat walks in on Laura in the cop uniform with Keith and the Basitin Cop handcuffed to her bed in their underwear.,6,False,0
5616,"In preparation for their first date together, Trace and Saria seek advice from their friends. Trace from Nora, and Saria from Rose. ",6,False,0
12497,"Angel VS. Demon but with Willow this time, curious to see how this would look",6,False,0
1457,A look at Adelaide & Natani's conversation discussing Natani's Secret after page 592,6,False,0
7505,Airport security sequel: Willow has finally managed to convince security that the lamp is actually her. Unfortunately this means that her lamp must occupy the seat and her vessel has to be put in the overhead baggage as a carry on,6,False,0
3664,"Jedi Trace battles his dark sides-Black Mana and Templar Trace-in an epic 2v1 lightsaber battle, with both Sith Traces using crossguard lightsabers.",6,False,0
7984,Past Trace and Current Trace competing at the Templar school of magic for Head Mistress Nora's attention.,6,False,0
