,name,votes,winner,win_difference
9367,"The main four as survivors on a deserted island. Trace is cooking fish and burning it, Keith is trying to catch fish while Flora attaches the fishing hook to his pants without him knowing, and Natani is trying to murder a shark that tore off his chest bindings.",6,False,0
8231,"With the power out in their apartment, Zen and Raine light some candles and spend the time playing board games.",6,False,0
9915,Human version of Flora's Sister Ivy,6,False,0
9910,Half-keidran Raine meets human Holo from the “Spice and Wolf”.,6,False,0
9400,Twokinds High: Mike is mistakenly issued a girls' uniform.,6,False,0
9928,"Mike kisses Evals who is reluctant at first, but then gets more into it (both male)",6,False,0
3979,Mike laughing at Fem-Fox-Keith for his “basitin black magic” backfiring on him,6,False,0
380,Prom Queen Mike & Prom King Evals,6,False,0
7539,The older Maeve in evening dress,6,False,0
10502,Kathrin summons Sealeen's Love Potion to save herself from Romulus.,6,False,0
4158,The mains as characters of world of warcraft ,6,False,0
10220,Good morning Zen,6,False,0
9310,Keith had a little too much of the good stuff at the annual New Years party and accidentally stumbles into the wrong Magi Brother's bed.,6,False,0
4131,"Keidran Nibbly gets a tummy ache, Sythe comforts her with a belly rub.",6,False,0
4136,World War II sexy pinup of Adelaide Admiral of the Royal Navy riding the bow of the HMS Victorious into battle.,6,False,0
10251,Ice mage Wolf Raine and lightning mage Maren,6,False,0
6438,Grand Templar Laura and the Slaver Sisters  Kathrin and Flora have tea when Laura takes notice of a special Basitin slave boy,6,False,0
10373,"Clovis' minion Sam uses a Collar of Keidranification to make himself Keidran again. Unfortunately, he's still a cow... and a she.",6,False,0
10370,"Beach party! Lynn insists Keith must wear a Victorian swimsuit, for modesty.",6,False,0
4168,Flora’s Extended reaction to Trace being called papa: Attempt at Motherhood,6,False,0
7641,Portrait of Cat Nora (Cat Nora still shows her beauty in her portrait),6,False,0
10405,Nibbly in messing with the voting system,6,False,0
4201,"Older Maddie finally hits a growth spurt and surpasses Adelaide's height, much to Maeve's surprise",6,False,0
226,"Flora in the virgin killer sweater, saying: “…my butt’s cold…” ",6,False,0
4175,"Halo Raine 2 - Raine trains with the Master Chief, while RED chats with Cortana. (Human form).",6,False,0
10393,A Dragons/Dragonesses talk with Nat and Flora about how they met their significant other.,6,False,0
10342,"Trace, Flora, and Flora's parents dressed up as the Boyfriend, Girlfriend, and her parents in 'Friday Night Funkin'",6,False,0
10333,"As Explorer Brin and her new Snep hubby prepare to leave, the villagers present her with a parting gift - an honorary (replica) Snep tail, to mark her as an official member of the tribe!",6,False,0
10331,(Actor AU) A peek into the life of Keith and Natani's actors,6,False,0
7606,Originally plain cat keidran Flora,6,False,0
10347,Kat and Flora Living plush,6,False,0
11763,"Genderswap AU: The gang arrives at the Legacy Estate in Edinmire, only to be greeted by male Rose and...a child?! As it turns out, since Trace was the one who was pregnant, not the now-deceased Saria, she was able to safely deliver the child, and they've been waiting for their mom to come back.",6,False,0
7621,Maddie has dressed up in Keith’s general outfit and is caught pretending to be him. ,6,False,0
9345,A dentist's nightmare. Dragon comes in for dental check-up,6,False,0
10523,A redraw of the last panel of page 223. (Badass demon dragon),6,False,0
10417,Zen and Kathrin turned into Nagas due to a magic accident.,6,False,0
7486,Merfolk Raine peacefully sits on the rocks of a calm lagoon,6,False,0
4241,Origami Nibbly.,6,False,0
357,"Steampunk crossover. The great Templar Trace, fighting with the evil mechanic Ephemural.",6,False,0
9260,"Wolf Raine wearing short tight shorts and top, giving her most sensuous pose and wishing happy new year to fans.",6,False,0
8264,Airport security sequel: Willow has finally managed to convince security that the lamp is actually her. Unfortunately this means that her lamp must occupy the seat and her vessel has to be put in the overhead baggage as a carry on,6,False,0
7505,Angel Flora fighting an out of control Demon Tiger Trace to bring him back to his senses,6,False,0
10581,Trace and Flora watching the sunset at the beach.,6,False,0
9273,Little Red Riding Hood Maren meets the bad wolf Sythe on the way to her grandmother,6,False,0
10518,Kat relaxing time. Make and Evals helping her by fan and giving paw massages ,6,False,0
10300,Maren decides that she and Trace need to hash out their unresolved issues by a traditional but obscure method: dragon jousting. She drags Reni and Nora in as seconds/mounts.,6,False,0
7581,Clovis trying to keep Brutus from leaving the room accidentally...tugs...his tail! ,6,False,0
11766,"Succubus Maren gives her victim Sythe the choice of what to play with him, Trick or Treat",6,False,0
4306,Alaric and Keith’s nude beach vacation ,6,False,0
4287,"Eric ""studies"" Chimera to see what kind of Keidran she actually is, and he also adds a new painting to his collection",6,False,0
10286,Natani and Keith cuddling,6,False,0
7650,Flora gives in to her pregnancy cravings and orders magical room service from the summoning table: baby wants chocolate!,6,False,0
4268,WWII: Tigress Trace wearing a US Army Air Force uniform while sitting on the wings of the P-40,6,False,0
9337,The Twokinds High visual novel also has a VV Mike secret route,6,False,0
9339,Saria and Rose wake up after a wild New Year's party and wonder if anything happened between them. ,6,False,0
11797,"Templar Laura AU: Keith returns home, at the head of a Templar fleet sent to siege the Isles",6,False,0
11897,Young Raine and Reni collaborate to steal the Thanksgiving turkey.  Fortunately someone's parents cooked more than one.,6,False,0
3532,Thanksgiving with the two kinds group,6,False,0
6370,"In preparation for their first date together, Trace and Saria seek advice from their friends. Trace from Nora, and Saria from Rose. ",6,False,0
9027,The biological differences of Mekkan's main species (and Windstraw's),6,False,0
9240,Good morning Mike (male),6,False,0
7856,Tiger Trace sleeping on Flora's chest,6,False,0
8946,Human Flora & Kat wearing their keidran onesies,6,False,0
4467,Gender switch; Trace as a female and Flora as a male,6,False,0
4481,Kat is the bard to a group of adventurers.,6,False,0
2031,Mike & Evals trying to relax at the mansion unaccustomed to being guests.,6,False,0
2030,Alaric & Madelyn are fencing/sparring. Madelyn is impossible to land a hit on.,6,False,0
7876,"Brutus, hearing ""Let me in"" Clovis, opens the gate a bit too quick slamming Clovis between it and the fence.",6,False,0
69,Trace & Eric Money Fight!,6,False,0
4357,Maddie chugs down a mug of Landen's coffee (extra strong) and becomes so hyper she starts moving faster than a hummingbird.,6,False,0
4340,King Adelaide gives dating advice to her daughter,6,False,0
71,Keith meet Alaric for the first time. Something from their early childhood or first training days,6,False,0
2067,"Dust: An Elysian Tail, Dust accidentally turned into a Nimbat by Fidget.",6,False,0
9215,"Raine and Red get caught under the mistletoe. Raine gets flustered, goes halfkind, theres blushing and cute awkwardness.",6,False,0
7005,Laura against the glass,6,False,0
1362,"""Keiser Odyssey"" Keith is dressed as Mario and the bucket helmet is possessed by Laura.",6,False,0
9040,"The many forms of Trace: Male, Female, Tiger, Tigress, Dragon, Basitin, Demon",6,False,0
7872,Originally plain cat keidran Flora,6,False,0
4390,"Keith, Alaric, and Basitin Trace drink way too much on St. Patrick's Day",6,False,0
4395,Flora Reference Sheet,6,False,0
2310,Keith makes peace with his father at his grave site ,6,False,0
2318,Non-genderbent Mike & Evals trying on dresses together.,6,False,0
10059,Remus wearing the cone of shame after his run in with nibs,6,False,0
61,Mrs. Nibbly dressed like Yoda,6,False,0
10338,After listening intently to Raine about everything there is to know about dragons Maeve shares the new knowledge with friends!,6,False,0
2180,Keith finds himself comfortably in bed between sleeping Flora and tiger Trace.,6,False,0
2178,"Modern-day style Keith & Natani sharing an umbrella in the rain, holding hands.",6,False,0
2196,Witcher Keith fights Nora,6,False,0
2217,A look at Adelaide & Natani's conversation discussing Natani's Secret after page 592,6,False,0
3372,"UNSC Spartan Raine-Human Raine as a Spartan 4 from Halo, w/ Red as her Artificial Intelligence.",6,False,0
12070,Male Mike daki,6,False,0
9195,"Hatchling Reni in a mall, asking Santa for some magical artifacts / toys.",6,False,0
7984,Natani uncharacteristically dancing with Keith at a rave or club.,6,False,0
2328,Mike & Evals learn from Natani how to be DEADLY ASSASSINS,6,False,0
3132,"Zen & Kat in an intimate embrace, overlooking a nighttime skyline of a modern city.",6,False,0
3422,"Clovis is Rita Repulsa, & its time to conquer Earth!",6,False,0
9205,"Zen and Human Raine all bundled up in a blanket, sitting by window overlooking a snowy cityscape. Opening the gifts they got for each other.",6,False,0
3397,Redraw: Keidran Trace 'Sit',6,False,0
6971,Natani and Keith Family Portrait,6,False,0
3410,Frankenstein monster escapes her Creator & meets Raine,6,False,0
7286,"Mischievous schoolboy Keith is sent to detention with Ms. Laura.  Unfortunately (or fortunately) for him, corporal punishment is still allowed! ",6,False,0
4415,"Jedi Trace battles his dark sides-Black Mana and Templar Trace-in an epic 2v1 lightsaber battle, with both Sith Traces using crossguard lightsabers.",6,False,0
7277,"Natani as Tifa, Laura as Aerith and Keith as Cloud from Don Corneo’s bride scene from Final Fantasy VII Remake.",6,False,0
8950,Trace finds out Nora has been streaking this whole time turns out dragons normally are modest like Reni ,6,False,0
4420,Continuation of Eric's “New” Twokind's : Alaric's Return strokes the fires of Basitin passion! co-written by Kathrin Vaughan,6,False,0
4371,"Trace reveals his transcendent magic potential. Lady Nora is amazed and impressed, he is not just another eye candy anymore. ",6,False,0
7020,Undercover Western Basitin Maddie abuses her adorableness while on duty to get invited/invite herself to a Western Basitin feast and gala. ,6,False,0
7714,"Puppy Brutus, proudly marching around on all 4s with a stick in his mouth",6,False,0
9091,Half-keidran Raine meets human Holo from the “Spice and Wolf”.,6,False,0
4544,WWII: Tigress Trace in a US Army Uniform being painted on the plane of the P-40,6,False,0
11806,"Oh no! It's the rare occurrence of the weretiger trace, all floofed up for Halloween!",6,False,0
9141,"As VV Mike is getting out of bed, Kathrin gives her a big adorable hug from behind!",6,False,0
346,Ms. Nibbly sleeping on Karens face like a kitten,6,False,0
9146,Santa Kat gets stuck trying to slide down a chimney to deliver presents.,6,False,0
7679,"While Natani is dumping her stash of mana gems from her bindings, Maddie plops out.",6,False,0
2111,Keith as Ratchet from Ratchet & Clank game series.,6,False,0
8343,Evals goes to see mike but finds very vixen mike changing clothes,6,False,0
4593,"Sequel to ""Let Sleeping Dragons Lie"". Trace complains that dragons are too heavy and asks Nora not to sleep on him. Nora solves this by taking human form.",6,False,0
348,"""Keith's Assistant"" Trace turns into a Basitin",6,False,0
10109,"It is mentioned in King Adelaide's reference sheet that she enjoys sailing as a hobby, so she meets Captain Jenny and they go on an ocean expedition together!",6,False,0
7838,"With the power out in their apartment. Zen and Raine light some candles, and spend the night playing board games.",6,False,0
349,"Flora builds pillow fort/cave curled up in it, with demonic eyes staring at Trace",6,False,0
10074,Kat and Evals watch in utter confusion and shock as Mike is running away in terror from an Easter Bunny who just wants to give Mike an Easter Egg.,6,False,0
6398,"Keith presents his new armor invention: ear helmets, to protect against further harm and surprise grabs.",6,False,0
4559,Vixen Raine,6,False,0
1293,"Wrinry finally wears some clothes, much to her annoyance.",6,False,0
8338,Trace and past Trace as twins at the Templar school for magic attempting to impress Head mistress Nora. ,6,False,0
9128,"Roselyn, using teleportation magic, scares Trace.",6,False,0
4058,Madelyn & Karen vs. Flora & Kathryn: Beach Volleyball,6,False,0
10062,"The bunny girl offers up Mike some ""Easter eggs"" by painting her chest to look like a pair of them.",6,False,0
7673,Zen and Kathrin are looking at the stars on a hill in a beautiful night.,6,False,0
4537,Maeve buries Keith and Natani’s legs at the beach and fashions Merfolk tails over them.,6,False,0
7656,Flora meets Tigger and tries to bounce on her tail like him,6,False,0
4641,"Nibbly as an Adrakist, learning to fly.",6,False,0
4372,Trace and Flora enact the balcony scene from Romeo and Juliet,6,False,0
7716,Laura possesses Keith. Keith becomes flustered as his body begins moving on its own.,6,False,0
2020,Raine as Elsa from frozen,6,False,0
8357,"Romulus and Remus put on a show at their previous job as the main act in a Magic Mike/Chippendales-style exotic dance club. Clovis was just in the audience to scout potential new bodyguards, he swears!",6,False,0
2013,Princess Clovis poses for her official portrait.,6,False,0
4507,"Her painting of Fox Eric complete, Flora removes the collar of keidranification before he has a chance to put some clothes on",6,False,0
2005,Adrakist Flora dancing in sunbeams.,6,False,0
4635,FemKeith uses her chest bandages to banish Keith to the pocket dimension.,6,False,0
2141,Adira & Maeve entering the Legacy Manor for the first time.,6,False,0
4644,Grand Templar Trace commissions local artist Eric Vaughan to paint his portrait,6,False,0
6340,"An emotional moment. Kathrin hugging Zen, trying to cheer him up.",6,False,0
4646,Raine with short hair.,6,False,0
9087,"Cyberpunk Raine returns as a Nomad from Cyberpunk 2077, driving her car with the viewer in the passenger seat",6,False,0
4613,Natani (somehow) teaches trace how to fight,6,False,0
4622,"The bunnies, wanting to keep him around a little longer, dress Mike up as the central figure in their spring, treats giving celebration (Easter Bunny).",6,False,0
4684,"Raine and Zen's snapshot at the top of a rollercoaster. One is freaking out trying to hold on to the other, while the other chuckles and tries to  comfort them.",6,False,0
1337,The Life-binder Alexstrasza (WoW) gives blessing to pregnant Flora,6,False,0
2161,Keith's reaction to Natani in a dress from The Dragon Masquerade.,6,False,0
2160,"Keith as Knight Artorias from Dark Souls, & puppy Natani as Great Wolf Sif.",6,False,0
2157,Sealeen dressed up & lookin' pretty.,6,False,0
6879,Trace and Flora as The Rising of the shield hero ,6,False,0
248,Older Madelyn and Keith enjoying a romantic dinner together in front of a fireplace. On the mantle is an urn with Natani's mana crystal necklace draped around it.,6,False,0
4758,Love Zap part 2: Flora’s zap backfired and makes her all floofy and puffball-like,6,False,0
1129,Laura and Keith dancing in the rain,6,False,0
2381,"Therie, Natani and Flora sharing tips on relationships. With Kathrin spying on them.",6,False,0
4744,World War II pin-up Maren as sexy French Maquis Resistance freedom fighter,6,False,0
595,"Full Metal Alchemist crossover. Trace as Edward, Keith as Alphonse, Flora as Winry.",6,False,0
11531,Young Nora visiting the early human settlement. Unfamiliar scents cause her to sneeze and accidentally burn down the entire village.,6,False,0
11533,"Twokinds High 5 Sequel: Hoping no one noticed their transformation, VV Mike tries to rebrand as the hot transfer student.",6,False,0
4724,Mike doing the fox dive into snow.,6,False,0
2392,Maddie used the gate key to check on her own home.,6,False,0
680,"Flora finds the TARDIS, whilst walking in the woods with Trace. Flora is curious while Trace is cautious.",6,False,0
8572,Pirates of the Caribbean: Captain Flora and her secrets,6,False,0
1119,Halloween at the Legacy Estate: Roselyn hands out candy to trick or treaters,6,False,0
701,Keith proposing to Laura,6,False,0
2398,Seraphina in Sienna's Unchained outfit from Warhammer: Vermintide 2,6,False,0
690,Raine in a wedding dress.,6,False,0
1130,A female flying fox keidran for Halloween. ,6,False,0
8581,Mike catches Evals trying to flood the Patreon sketch submissions with 'more female/very vixen Mike' suggestions.,6,False,0
4734,"Flora has taken command of Eric's ship and gone full pirate queen, giving orders to a confused first mate Kat. Avast!",6,False,0
4864,Redraw of Kat’s first appearance in the comic from page 274 to celebrate 13 years since she was introduced! (July 2006 - July 2019),6,False,0
2465,Mermay Carver: Raine's teleport places him among merfolk,6,False,0
1168,Kat and Flora at a Halloween costume party with a steampunk theme.,6,False,0
8885,"Brutus, hearing ""Let me in"" Clovis, opens the gate a bit too quick slamming Clovis between it and the fence.",6,False,0
11667,"Cerberus Natani, the three heads are Natani's three aspects, Fem Natani, Male Natani, and Youngtani.",6,False,0
8831,"Twokinds Anatomy Lesson on Skeletons: A look at the differences between Human, Tiger, Wolf, and Basitin skeletons. Trace, Flora, Natani, and Keith are attending.",6,False,0
2420,Raine transforms in her sleep while having a nightmare and her clothes stretch out,6,False,0
1420,Saria's ghost returns to gossip with Flora about Trace.,6,False,0
10813,Rivet (ratchet and clank rift apart) crosses paths with the bastions. But they are all debating if she’s a bastion like them or a alien.,6,False,0
4889,Adira as a burlesque dancer,6,False,0
592,Child Keith hugging his mother.,6,False,0
4851,Cathleen telling Cornelius she’s with child,6,False,0
10955,Test Card F.  Laura as the girl in the red dress playing tic-tac-toe and Keith as the clown doll.,6,False,0
2451,Tigress Trace Rides on Dragon Flora.,6,False,0
2450,Sythe in diplomatic regalia riding a super sized Nibbly doing the Akira power slide.,6,False,0
1112,A scene showing a day in the life of Trace and Flora if they were in modern times.,6,False,0
11732,"Willow and Laura accidentally enter the ""Humans Only"" bath.",6,False,0
693,"♂ to ♀ Lineup C (Eric, Alarik, Keiren and newcomer Carver)",6,False,0
5023,White Keidran Nora meets Black Cat Keidran Reni.,6,False,0
8142,Wonder Woman Adelaide,6,False,0
559,Zen riding into the sunset on a horse with Sythe tied up and slung over the back.,6,False,0
440,Kathrin makes the finishing touches to her hand made plush doll (of Natani),6,False,0
446,"Fem Mike dressed in some cute lingerie, with the implication that Nora has controlled his body in order to make him put the lingerie on.",6,False,0
447,Laura and Natani duel over Keith,6,False,0
2561,Trace interpreting the meme of omae wa mou shindeiru,6,False,0
11588,Evil Trace as Darth Revan posing with a lightsaber.,6,False,0
4923,Nora teasing Tiger Trace and Flora,6,False,0
2556,"Curious about their relationship, LT. Reed attempts to spy on Trace and Flora",6,False,0
449,Youngtani and Rose in a Sass-Off,6,False,0
11592,Both teams get together to play a friendly game of strip poker. It doesn’t go as planned. ,6,False,0
11986,"Flora and Trace rushing out the door for date night giving a whole bunch of last minute (disconcerting) instructions to the babysitter, teenage Maeve",6,False,0
11468,Lioness Saria models nude for Rose.,6,False,0
2551,Kat demonstrates a new keidran's fashion collection. Eric is impressed.,6,False,0
885,Trace and Flora share tender moment with a 'Spider-Man' kiss - with Flora hanging upside down from a tree.,6,False,0
4941,Trace teaches Roselyn magic while Saria watches smiling. ,6,False,0
11318,Ancient AU: Laura and Kathrin as Celtic warriors with blue war paint observe Romulus and Remus (as Roman soldiers) from the thicket of the forest.,6,False,0
5056,Raine trying to explain that she isn't a werewolf,6,False,0
11333,Ora Fusion (Nora and Flora) panicking because she isn't able to unfuse,6,False,0
891,Kat dreaming about her and Eric,6,False,0
5077,"Kat and Zen eat spaghetti, as in the scene from ""Lady and the Tramp"" by Disney.",6,False,0
6256,Transformation lapse of Raine ,6,False,0
1554,Bodytype-swap (and gender-swap): Natani and Keith,6,False,0
11717,"Modern Maeve: Maeve spies a shy Basitin exchange student eating by herself in the cafeteria, and decides to join her for lunch.",6,False,0
563,Duel of the Fates: Twokinds Edition!,6,False,0
870,Scythe trying to teach Mrs. Nibbly a doggy trick,6,False,0
11964,Cassidy and Human are watching a movie,6,False,0
656,Nora has turned Reni into a pre-adolescent dragon so she can be Trace's big sister,6,False,0
1456,Laura as a full on dragon,6,False,0
428,Ms. Nibbly sleeping on Karens face like a kitten,6,False,0
431,"Natani as Triss Merigold from ""Witcher"" game series.",6,False,0
6685,Keith and Laura fiery tango dance.,6,False,0
8866,"Nora doting on Reni as if she was actually her granddaughter, pinching her cheek and asking Kei about her intentions with her granddaughter, embarrassing Reni",6,False,0
852,"Starcraft 2 crossover. Trace as Jim Raynor, Flora as Sarah Kerrigan, and Keith as Artanis.",6,False,0
5047,Cathleen telling Cornelius she’s pregnant ,6,False,0
4828,"Flora's Dating Service: After Natani's blunt one doesn't go well for Kat, Flora takes it upon herself to one-up Natani and introduce Kat to Raine.",6,False,0
11521,"Follow up to ""Body Swap - Raine and Kat"": Seeing Raine's embarrassment, an off-screen Kat attempts to give the pants and top to Raine. Then to make things even worse, Raine hears one of the guys approaching.",6,False,0
1181,Maddie as a 'Were-Squirrel' after getting bitten by Mrs. Nibbly.,6,False,0
2435,"Wet Natani shakes herself dry, much to Keith’s displeasure",6,False,0
2591,Natani thanks Trace for vouching for her.,6,False,0
2663,Red & Sythe dressed as Han Solo & Chewbacca. Except that Red is Chewie,6,False,0
5187,Flora tells a spooky tiger Keidran folk story: the Rakshasa.,6,False,0
5263,"Flora and Natani take Kathrin out on Keidran styled hunting trip, despite Kathrin insisting that there is plenty of food at the mansion.",6,False,0
2628,"Maddie & Maeve find a bag of catnip, chaos insues",6,False,0
2731,"Curious about their relationship, LT. Reed attempts to spy on Trace & Flora",6,False,0
5265,Youngtani and Laura's ghost collaborated and took control of Natani's body. Keith is very confused by the unusual Natani's behavior.,6,False,0
11421,"Rose teaching a course on proper wolf etiquette. With Raine only interested from an etymological stand point, wolf Maren embarrassed, and Natani wondering why the hell HE's there. ",6,False,0
2631,"King Adelaide & Keith make a diplomatic trip to visit Western Basitin leaders, in proper attire",6,False,0
2723,Maddie as King Madness riding Nora into battle,6,False,0
1041,Renamon either posing for Eric or threatening to punch him over a portrait of her.,6,False,0
615,Flora tries to help a very sunburned Trace by following her instincts and licking him.,6,False,0
8528,Dr.Jekyll and Ms.Kat: Kat accidentally mistakes one of Trace's old potions as a bottle of Mead and proceeds to try sip. She can't help but wonder if it's responsible for her sudden increase in height and large saber like teeth. ,6,False,0
530,Maddie as Ed from Cowboy Bebop,6,False,0
5132,Pseudo-sequel to Ghostbuster! Natani and Keith busting the ghosts of Alaric and Laura.,6,False,0
8827,Roselyn using teleportation magic to scare Trace.,6,False,0
2614,Saria & Rose encounter young Flora while walking through the countryside.,6,False,0
10746,Scarlett complaining that the if she had a Nickel for every time she lost a bet to wear the collar she'd have two nickels. ,6,False,0
2574,"Raine ""hulks out"" of her sweater",6,False,0
11439,"Clovis lingerie, both female and male versions",6,False,0
10777,Maeve wishes to be dragon princess like Reni and she is gleeful to find herself body swapped with Reni,6,False,0
